match_id,start_date,duration_min,radiant_team,dire_team,winner,league
8946650558,2026-08-15,35.6,Xtreme Gaming,Team Resilience,Team Resilience,The International 2026
8946552436,2026-08-15,34.2,Team Resilience,Xtreme Gaming,Team Resilience,The International 2026
8946288549,2026-08-15,47.3,LGD Gaming,Xtreme Gaming,LGD Gaming,The International 2026
8946231092,2026-08-15,49.1,LGD Gaming,Xtreme Gaming,LGD Gaming,The International 2026
8946161784,2026-08-15,59.1,LGD Gaming,Xtreme Gaming,Xtreme Gaming,The International 2026
8944814087,2026-08-14,39.0,Xtreme Gaming,HULIGANI,Xtreme Gaming,The International 2026
8944738770,2026-08-14,48.1,Xtreme Gaming,HULIGANI,Xtreme Gaming,The International 2026
8944506550,2026-08-14,47.2,Xtreme Gaming,GamerLegion,GamerLegion,The International 2026
8944476051,2026-08-14,21.6,GamerLegion,Xtreme Gaming,GamerLegion,The International 2026
8943200897,2026-08-13,48.5,Xtreme Gaming,Team Spirit,Team Spirit,The International 2026
8943143428,2026-08-13,50.9,Team Spirit,Xtreme Gaming,Team Spirit,The International 2026
8896486914,2026-07-14,41.0,Team Liquid,Xtreme Gaming,Team Liquid,Esports World Cup 2026
8896267691,2026-07-14,93.9,Team Liquid,Xtreme Gaming,Team Liquid,Esports World Cup 2026
8896140998,2026-07-14,69.2,Xtreme Gaming,Team Liquid,Xtreme Gaming,Esports World Cup 2026
8891240327,2026-07-11,42.4,Team Falcons,Xtreme Gaming,Team Falcons,Esports World Cup 2026
8891145641,2026-07-11,59.2,Xtreme Gaming,Team Falcons,Team Falcons,Esports World Cup 2026
8889524021,2026-07-10,20.1,Xtreme Gaming,BoomBoys,BoomBoys,Esports World Cup 2026
8889468264,2026-07-10,38.7,BoomBoys,Xtreme Gaming,BoomBoys,Esports World Cup 2026
8888056358,2026-07-09,39.0,Xtreme Gaming,_PowerRangers,_PowerRangers,Esports World Cup 2026
8887986392,2026-07-09,42.4,_PowerRangers,Xtreme Gaming,Xtreme Gaming,Esports World Cup 2026
8886641793,2026-07-08,65.0,GamerLegion,Xtreme Gaming,Xtreme Gaming,Esports World Cup 2026
8886572854,2026-07-08,44.2,GamerLegion,Xtreme Gaming,Xtreme Gaming,Esports World Cup 2026
8885275216,2026-07-07,57.4,Xtreme Gaming,Rune Eaters,Xtreme Gaming,Esports World Cup 2026
8885195986,2026-07-07,47.3,Rune Eaters,Xtreme Gaming,Rune Eaters,Esports World Cup 2026
8830175194,2026-05-29,44.4,Xtreme Gaming,Aurora Gaming,Aurora Gaming,BLAST SLAM VII
8829947467,2026-05-29,40.1,LGD Gaming,Xtreme Gaming,LGD Gaming,BLAST SLAM VII
8829158433,2026-05-28,48.9,GLYPH,Xtreme Gaming,Xtreme Gaming,BLAST SLAM VII
8828810013,2026-05-28,48.3,Xtreme Gaming,Team Spirit,Xtreme Gaming,BLAST SLAM VII
8828679235,2026-05-28,26.6,BoomBoys,Xtreme Gaming,BoomBoys,BLAST SLAM VII
8827888041,2026-05-27,30.4,Xtreme Gaming,Iron Wing,Iron Wing,BLAST SLAM VII
8827492535,2026-05-27,46.9,Xtreme Gaming,Team Yandex,Team Yandex,BLAST SLAM VII
8827282767,2026-05-27,40.5,Xtreme Gaming,Team Falcons,Team Falcons,BLAST SLAM VII
8826437838,2026-05-26,45.3,Xtreme Gaming,OG,Xtreme Gaming,BLAST SLAM VII
