match_id,start_date,account_id,player_name,team,role,hero,kills,deaths,assists,gpm,xpm,last_hits,win
8946650558,2026-08-15,898754153,Ame,Xtreme Gaming,Carry,Nature's Prophet,3,3,4,664,758,507,0
8946650558,2026-08-15,173978074,NothingToSay,Xtreme Gaming,Mid,Puck,5,5,3,504,604,264,0
8946650558,2026-08-15,129958758,Xxs,Xtreme Gaming,Offlane,Centaur Warrunner,2,6,3,488,607,327,0
8946650558,2026-08-15,101695162,fy,Xtreme Gaming,Mid,Spirit Breaker,1,8,10,259,309,31,0
8946650558,2026-08-15,94296097,xNova,Xtreme Gaming,Carry,Winter Wyvern,0,13,8,210,261,13,0
8946650558,2026-08-15,170896543,YSR-04E,Team Resilience,Carry,Kez,8,1,11,813,993,452,1
8946650558,2026-08-15,315272623,Echozz,Team Resilience,Mid,Earthshaker,10,3,14,610,835,265,1
8946650558,2026-08-15,145957968,niu,Team Resilience,Offlane,Doom,10,1,17,739,901,290,1
8946650558,2026-08-15,150961567,planet,Team Resilience,Mid,Keeper of the Light,3,3,16,396,549,96,1
8946650558,2026-08-15,249835593,zzq,Team Resilience,Mid,Mirana,4,5,19,396,473,75,1
8946552436,2026-08-15,170896543,YSR-04E,Team Resilience,Carry,Necrophos,12,1,10,853,1004,497,1
8946552436,2026-08-15,315272623,Echozz,Team Resilience,Mid,Invoker,6,1,16,627,761,303,1
8946552436,2026-08-15,145957968,niu,Team Resilience,Offlane,Axe,8,1,12,563,675,236,1
8946552436,2026-08-15,150961567,planet,Team Resilience,Offlane,Mirana,1,2,20,410,641,119,1
8946552436,2026-08-15,249835593,zzq,Team Resilience,Carry,Undying,1,5,17,351,547,84,1
8946552436,2026-08-15,898754153,Ame,Xtreme Gaming,Carry,Phantom Lancer,0,3,2,574,590,437,0
8946552436,2026-08-15,173978074,NothingToSay,Xtreme Gaming,Mid,Pangolier,0,2,7,493,560,301,0
8946552436,2026-08-15,129958758,Xxs,Xtreme Gaming,Offlane,Timbersaw,5,6,2,553,677,340,0
8946552436,2026-08-15,101695162,fy,Xtreme Gaming,Offlane,Rubick,1,11,5,254,250,60,0
8946552436,2026-08-15,94296097,xNova,Xtreme Gaming,Mid,Hoodwink,3,6,7,250,255,28,0
8946288549,2026-08-15,177203952,Yuma,LGD Gaming,Carry,Vengeful Spirit,5,7,15,624,798,387,1
8946288549,2026-08-15,94054712,Topson,LGD Gaming,Mid,Dragon Knight,5,1,14,638,871,473,1
8946288549,2026-08-15,292921272,Wisper,LGD Gaming,Offlane,Beastmaster,10,1,9,773,909,579,1
8946288549,2026-08-15,105045291,Thiolicor,LGD Gaming,Offlane,Keeper of the Light,1,7,16,358,535,130,1
8946288549,2026-08-15,81306398,KingJungles,LGD Gaming,Carry,Hoodwink,5,1,16,357,524,47,1
8946288549,2026-08-15,898754153,Ame,Xtreme Gaming,Carry,Tiny,5,5,8,570,690,507,0
8946288549,2026-08-15,173978074,NothingToSay,Xtreme Gaming,Mid,Lina,4,5,6,562,655,462,0
8946288549,2026-08-15,129958758,Xxs,Xtreme Gaming,Offlane,Dawnbreaker,3,3,7,534,715,523,0
8946288549,2026-08-15,101695162,fy,Xtreme Gaming,Offlane,Tusk,0,11,11,233,358,39,0
8946288549,2026-08-15,94296097,xNova,Xtreme Gaming,Carry,Mirana,5,2,7,357,410,108,0
8946231092,2026-08-15,177203952,Yuma,LGD Gaming,Carry,Spectre,9,1,10,692,958,505,1
8946231092,2026-08-15,94054712,Topson,LGD Gaming,Mid,Lina,6,2,9,785,982,630,1
8946231092,2026-08-15,292921272,Wisper,LGD Gaming,Offlane,Centaur Warrunner,5,1,14,621,743,494,1
8946231092,2026-08-15,105045291,Thiolicor,LGD Gaming,Offlane,Windranger,3,1,16,340,495,98,1
8946231092,2026-08-15,81306398,KingJungles,LGD Gaming,Carry,Hoodwink,1,1,15,316,519,68,1
8946231092,2026-08-15,898754153,Ame,Xtreme Gaming,Carry,Drow Ranger,1,5,2,626,697,593,0
8946231092,2026-08-15,173978074,NothingToSay,Xtreme Gaming,Mid,Magnus,1,3,3,452,597,363,0
8946231092,2026-08-15,129958758,Xxs,Xtreme Gaming,Offlane,Slardar,0,2,4,528,688,491,0
8946231092,2026-08-15,101695162,fy,Xtreme Gaming,Offlane,Mirana,4,6,2,307,351,155,0
8946231092,2026-08-15,94296097,xNova,Xtreme Gaming,Carry,Elder Titan,0,8,2,233,296,35,0
8946161784,2026-08-15,177203952,Yuma,LGD Gaming,Carry,Lone Druid,4,2,10,784,746,834,0
8946161784,2026-08-15,94054712,Topson,LGD Gaming,Mid,Void Spirit,8,6,9,651,785,558,0
8946161784,2026-08-15,292921272,Wisper,LGD Gaming,Offlane,Timbersaw,10,6,6,840,1068,819,0
8946161784,2026-08-15,105045291,Thiolicor,LGD Gaming,Offlane,Hoodwink,0,9,15,335,456,127,0
8946161784,2026-08-15,81306398,KingJungles,LGD Gaming,Carry,Undying,1,8,13,262,505,40,0
8946161784,2026-08-15,898754153,Ame,Xtreme Gaming,Carry,Lina,15,3,10,910,1045,782,1
8946161784,2026-08-15,173978074,NothingToSay,Xtreme Gaming,Mid,Puck,6,4,18,617,994,494,1
8946161784,2026-08-15,129958758,Xxs,Xtreme Gaming,Offlane,Underlord,4,2,22,695,1098,643,1
8946161784,2026-08-15,101695162,fy,Xtreme Gaming,Offlane,Rubick,5,7,17,386,613,165,1
8946161784,2026-08-15,94296097,xNova,Xtreme Gaming,Carry,Treant Protector,1,8,22,356,511,44,1
8944814087,2026-08-14,129958758,Xxs,Xtreme Gaming,Offlane,Timbersaw,12,0,9,859,1014,478,1
8944814087,2026-08-14,173978074,NothingToSay,Xtreme Gaming,Mid,Pangolier,7,3,12,542,667,263,1
8944814087,2026-08-14,898754153,Ame,Xtreme Gaming,Carry,Tiny,5,2,7,730,874,439,1
8944814087,2026-08-14,94296097,xNova,Xtreme Gaming,Carry,Mirana,1,3,8,364,490,72,1
8944814087,2026-08-14,101695162,fy,Xtreme Gaming,Offlane,Spirit Breaker,3,5,19,372,537,72,1
8944814087,2026-08-14,140251702,Mirage`雨,HULIGANI,Mid,Slardar,1,3,9,435,532,272,0
8944814087,2026-08-14,145065875,sayuw,HULIGANI,Offlane,Tusk,1,9,7,222,257,26,0
8944814087,2026-08-14,320017600,ssnovv1,HULIGANI,Carry,Terrorblade,3,1,2,750,653,594,0
8944814087,2026-08-14,123787715,RESPECT,HULIGANI,Mid,Hoodwink,6,8,3,300,295,70,0
8944814087,2026-08-14,92487440,Corrupted,HULIGANI,Offlane,Dark Seer,2,7,5,519,425,338,0
8944738770,2026-08-14,898754153,Ame,Xtreme Gaming,Carry,Drow Ranger,6,3,7,783,1022,603,1
8944738770,2026-08-14,173978074,NothingToSay,Xtreme Gaming,Mid,Ember Spirit,12,3,14,620,1098,342,1
8944738770,2026-08-14,129958758,Xxs,Xtreme Gaming,Offlane,Underlord,3,2,11,644,901,533,1
8944738770,2026-08-14,101695162,fy,Xtreme Gaming,Offlane,Mirana,5,4,18,371,564,127,1
8944738770,2026-08-14,94296097,xNova,Xtreme Gaming,Carry,Elder Titan,1,4,15,343,445,40,1
8944738770,2026-08-14,140251702,Mirage`雨,HULIGANI,Mid,Lina,6,4,2,636,857,535,0
8944738770,2026-08-14,145065875,sayuw,HULIGANI,Offlane,Tusk,0,7,11,262,354,16,0
8944738770,2026-08-14,123787715,RESPECT,HULIGANI,Carry,Winter Wyvern,0,9,6,255,374,40,0
8944738770,2026-08-14,320017600,ssnovv1,HULIGANI,Carry,Sven,5,3,2,670,875,673,0
8944738770,2026-08-14,92487440,Corrupted,HULIGANI,Offlane,Dawnbreaker,5,4,7,591,780,526,0
8944506550,2026-08-14,898754153,Ame,Xtreme Gaming,Carry,Io,4,7,2,641,941,602,0
